R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
67,90,42,5,4,159.52,33.5,2.5,4,4,0,0,44
66,63,43,5,4,153.48,33,2.5,4,4,0,0,43.5
63,63,35,5,4,180,31.5,2.5,4,4,0,0,42
61,55,37,5,4,164.86,30.5,2.5,4,4,0,0,41
61,60,40,5,4,152.5,30.5,2.5,4,4,0,0,41
59,57,33,5,4,178.78,29.5,2.5,4,4,0,0,40
59,50,32,5,4,184.37,29.5,2.5,4,4,0,0,40
57,63,32,5,4,178.12,28.5,2.5,4,4,0,0,39
57,40,22,5,4,259.09,28.5,2.5,4,4,0,0,39
51,30,21,5,4,242.85,25.5,2.5,4,4,0,0,36
50,32,22,5,4,227.27,25,2.5,4,4,0,0,35.5
49,28,31,5,4,158.06,24.5,2.5,4,0,0,0,31
75,80,51,5,3,147.05,37.5,2.5,3,4,0,0,47
68,66,40,5,3,170,34,2.5,3,4,0,0,43.5
68,97,53,5,3,128.3,34,2.5,3,4,0,0,43.5
65,53,40,5,3,162.5,32.5,2.5,3,4,0,0,42
62,53,39,5,3,158.97,31,2.5,3,4,0,0,40.5
61,56,34,5,3,179.41,30.5,2.5,3,4,0,0,40
60,81,45,5,3,133.33,30,2.5,3,4,0,0,39.5
59,50,36,5,3,163.88,29.5,2.5,3,4,0,0,39
59,51,31,5,3,190.32,29.5,2.5,3,4,0,0,39
54,56,39,5,3,138.46,27,2.5,3,4,0,0,36.5
53,46,30,5,3,176.66,26.5,2.5,3,4,0,0,36
52,64,31,5,3,167.74,26,2.5,3,4,0,0,35.5
51,55,26,5,3,196.15,25.5,2.5,3,4,0,0,35
50,67,38,5,3,131.57,25,2.5,3,4,0,0,34.5
50,61,29,5,3,172.41,25,2.5,3,4,0,0,34.5
49,51,32,5,3,153.12,24.5,2.5,3,0,0,0,30
47,32,17,5,3,276.47,23.5,2.5,3,0,0,0,29
47,29,21,5,3,223.8,23.5,2.5,3,0,0,0,29
45,23,26,5,3,173.07,22.5,2.5,3,0,0,0,28
45,24,17,5,3,264.7,22.5,2.5,3,0,0,0,28
41,22,11,5,3,372.72,20.5,2.5,3,0,0,0,26
64,54,35,5,2,182.85,32,2.5,2,4,0,0,40.5
62,67,47,5,2,131.91,31,2.5,2,4,0,0,39.5
61,91,47,5,2,129.78,30.5,2.5,2,4,0,0,39
60,69,45,5,2,133.33,30,2.5,2,4,0,0,38.5
57,32,46,5,2,123.91,28.5,2.5,2,4,0,0,37
54,65,41,5,2,131.7,27,2.5,2,4,0,0,35.5
54,63,35,5,2,154.28,27,2.5,2,4,0,0,35.5
53,63,49,5,2,108.16,26.5,2.5,2,4,0,0,35
52,73,37,5,2,140.54,26,2.5,2,4,0,0,34.5
51,44,26,5,2,196.15,25.5,2.5,2,4,0,0,34
50,52,35,5,2,142.85,25,2.5,2,4,0,0,33.5
50,50,31,5,2,161.29,25,2.5,2,4,0,0,33.5
46,40,28,5,2,164.28,23,2.5,2,0,0,0,27.5
46,56,40,5,2,115,23,2.5,2,0,0,0,27.5
45,45,26,5,2,173.07,22.5,2.5,2,0,0,0,27
45,52,35,5,2,128.57,22.5,2.5,2,0,0,0,27
