,BATSMEN,R,M,B,4s,6s,SR
618,ATRayudu,49,72,40,4,1,122.5
619,KAPollard,26,27,14,0,3,185.71
620,CHGayle,117,84,57,7,12,205.26
621,VKohli(c),32,55,30,3,1,106.66
622,ABdeVilliers,47,42,24,3,4,195.83
623,KDKarthik?Çá,8,4,3,0,1,266.66
624,SNKhan,11,8,7,1,0,157.14
626,MVijay,2,13,6,0,0,33.33
627,MVohra,2,3,3,0,0,66.66
628,WPSaha?Çá,13,24,11,1,1,118.18
629,GJMaxwell,1,3,5,0,0,20
630,DAMiller,7,12,10,1,0,70
631,GJBailey(c),2,9,4,0,0,50
632,ARPatel,40,37,21,5,2,190.47
633,MGJohnson,1,5,4,0,0,25
634,AnureetSingh,0,1,2,0,0,0
635,KaranveerSingh,4,9,7,0,0,57.14
636,SandeepSharma,7,11,9,1,0,77.77
637,SDhawan,54,65,35,6,2,154.28
638,DAWarner(c),24,22,18,5,0,133.33
639,MCHenriques,20,27,21,3,0,95.23
640,EJGMorgan,63,34,28,4,5,225
641,RSBopara,17,29,12,2,0,141.66
642,NVOjha?Çá,8,12,6,1,0,133.33
644,AMRahane,8,3,6,2,0,133.33
645,SRWatson(c),12,17,12,3,0,100
646,SPDSmith,68,65,40,9,2,170
647,KKNair,4,16,10,0,0,40
648,DJHooda,7,16,9,0,0,77.77
649,JPFaulkner,30,32,19,2,2,157.89
650,SVSamson?Çá,21,16,10,0,3,210
651,STRBinny,3,14,3,0,0,100
652,CHMorris,34,12,11,2,3,309.09
653,RVUthappa?Çá,32,42,31,4,1,103.22
654,GGambhir(c),12,23,10,2,0,120
655,MKPandey,22,34,19,1,1,115.78
656,PPChawla,22,31,19,1,1,115.78
657,YKPathan,42,35,24,3,3,175
658,ADRussell,5,9,5,1,0,100
659,SAYadav,7,16,7,0,0,100
660,JBotha,17,6,5,4,0,340
662,MKTiwary,25,40,28,3,1,89.28
663,SSIyer,40,46,35,3,2,114.28
664,JPDuminy(c),25,28,16,2,1,156.25
665,KMJadhav?Çá,10,12,6,0,1,166.66
666,YuvrajSingh,0,2,3,0,0,0
667,ADMathews,22,26,15,2,1,146.66
668,SSTiwary,24,25,15,3,1,160
669,JAMorkel,5,5,2,1,0,250
670,DRSmith,27,41,34,4,0,79.41
671,BBMcCullum,23,20,11,3,1,209.09
672,SKRaina,10,16,10,1,0,100
673,FduPlessis,17,31,16,0,1,106.25
674,MSDhoni(c)?Çá,39,43,32,2,2,121.87
675,PNegi,36,25,17,4,1,211.76
677,LMPSimmons,38,47,31,3,2,122.58
678,PAPatel?Çá,45,45,32,6,0,140.62
679,RGSharma(c),18,29,22,0,0,81.81
680,KAPollard,1,5,4,0,0,25
681,ATRayudu,34,33,19,1,3,178.94
682,HHPandya,21,11,8,0,3,262.5
683,MVijay,28,23,21,4,1,133.33
684,MVohra,39,48,34,1,3,114.7
685,WPSaha?Çá,33,57,25,0,2,132
686,GJMaxwell,43,30,22,4,3,195.45
687,DAMiller,27,18,11,2,2,245.45
688,GurkeeratSingh,4,13,7,0,0,57.14
689,GJBailey(c),0,2,0,0,0,-
691,RVUthappa?Çá,17,16,11,3,0,154.54
692,GGambhir(c),24,39,23,4,0,104.34
693,MKPandey,22,16,15,4,0,146.66
694,SAYadav,9,16,9,1,0,100
695,YKPathan,29,29,19,1,3,152.63
696,ADRussell,51,30,21,5,4,242.85
697,JBotha,2,15,4,0,0,50
698,PPChawla,18,18,11,2,1,163.63
699,GBHogg,5,11,5,0,0,100
700,UTYadav,0,4,0,0,0,-
701,SPNarine,0,1,1,0,0,0
702,SDhawan,13,16,10,2,0,130
703,DAWarner(c),17,20,15,1,1,113.33
704,MCHenriques,74,74,46,1,5,160.86
705,EJGMorgan,22,27,25,2,0,88
706,KVSharma,16,22,13,2,0,123.07
707,RSBopara,17,19,11,1,0,154.54
709,QdeKock?Çá,50,35,31,9,1,161.29
710,SSIyer,0,9,7,0,0,0
711,JPDuminy(c),12,35,16,0,0,75
712,YuvrajSingh,2,5,7,0,0,28.57
713,KMJadhav,63,50,34,8,2,185.29
714,SSTiwary,26,46,25,2,1,104
715,CHGayle,13,16,12,1,1,108.33
716,VKohli(c),82,99,50,6,4,164
717,ABdeVilliers,133,82,59,19,4,225.42
719,PAPatel?Çá,19,19,11,3,0,172.72
720,LMPSimmons,68,97,53,5,3,128.3
721,RGSharma(c),15,20,13,1,1,115.38
722,KAPollard,49,27,24,6,2,204.16
723,HHPandya,8,6,4,0,1,200
724,ATRayudu,14,9,4,0,2,350
725,HarbhajanSingh,3,4,3,0,0,100
726,JSuchith,4,4,4,0,0,100
727,MJMcClenaghan,12,1,4,0,2,300
728,DRSmith,6,10,10,1,0,60
729,BBMcCullum,81,83,61,7,4,132.78
730,SKRaina,3,5,6,0,0,50
731,FduPlessis,29,59,25,3,0,116
732,PNegi,2,8,3,0,0,66.66
733,MSDhoni(c)?Çá,13,14,7,1,1,185.71
734,DJBravo,15,12,8,2,0,187.5
736,AMRahane,23,29,17,4,0,135.29
737,SRWatson,28,53,30,2,0,93.33
738,SPDSmith(c),4,11,6,0,0,66.66
739,KKNair,10,18,12,1,0,83.33
740,DJHooda,15,20,14,1,0,107.14
741,SVSamson?Çá,26,29,17,1,2,152.94
742,JPFaulkner,16,25,13,2,0,123.07
743,CHMorris,16,18,10,0,1,160
744,RBhatia,0,1,1,0,0,0
745,AnkitSharma,0,6,1,0,0,0
746,PVTambe,1,1,1,0,0,100
747,DAWarner(c),81,80,52,6,5,155.76
748,SDhawan,24,29,18,4,0,133.33
749,MCHenriques,28,31,24,4,0,116.66
750,EJGMorgan,17,5,7,1,2,242.85
