,BATSMEN,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
4160,DAWarner,59,50,31,7,3,190.32,29.5,3.5,3,4,0,0,40
4161,SDhawan,45,69,44,4,0,102.27,22.5,2,0,0,0,0,24.5
4162,APTare,0,1,1,0,0,0,0,0,0,0,0,-3,-3
4163,EJGMorgan,25,33,20,2,1,125,12.5,1,1,0,0,0,14.5
4164,DJHooda,5,18,5,0,0,100,2.5,0,0,0,0,0,2.5
4165,MCHenriques,5,4,4,1,0,125,2.5,0.5,0,0,0,0,3
4166,NVOjha,2,2,2,0,0,100,1,0,0,0,0,0,1
4167,VKohli,100,88,63,11,1,158.73,50,5.5,1,4,8,0,68.5
4168,SRWatson,6,7,6,1,0,100,3,0.5,0,0,0,0,3.5
4169,ABdeVilliers,20,22,16,2,0,125,10,1,0,0,0,0,11
4170,KLRahul,51,57,35,4,3,145.71,25.5,2,3,4,0,0,34.5
4171,DRSmith,32,24,21,3,2,152.38,16,1.5,2,0,0,0,19.5
4172,BBMcCullum,42,41,24,5,2,175,21,2.5,2,0,0,0,25.5
4173,SKRaina,28,55,24,3,0,116.66,14,1.5,0,0,0,0,15.5
4174,KDKarthik,50,62,39,3,0,128.2,25,1.5,0,4,0,0,30.5
4175,RAJadeja,12,21,10,0,1,120,6,0,1,0,0,0,7
4176,DJBravo,4,1,1,1,0,400,2,0.5,0,0,0,0,2.5
4177,AMRahane,67,68,52,4,3,128.84,33.5,2,3,4,0,0,42.5
4178,FduPlessis,4,15,9,0,0,44.44,2,0,0,0,0,-3,-1
4179,SPDSmith,31,29,28,2,0,110.71,15.5,1,0,0,0,0,16.5
4180,NLTCPerera,12,11,9,0,1,133.33,6,0,1,0,0,0,7
4181,JAMorkel,16,15,9,0,2,177.77,8,0,2,0,0,0,10
4182,MSDhoni,23,13,12,2,1,191.66,11.5,1,1,0,0,0,13.5
4183,RBhatia,1,8,1,0,0,100,0.5,0,0,0,0,0,0.5
4184,RVUthappa,0,1,1,0,0,0,0,0,0,0,0,-3,-3
4185,GGambhir,11,16,5,2,0,220,5.5,1,0,0,0,0,6.5
4186,SAYadav,60,68,49,6,2,122.44,30,3,2,4,0,0,39
4187,ShakibAlHasan,3,19,9,0,0,33.33,1.5,0,0,0,0,-3,-1.5
4188,YKPathan,36,30,27,2,2,133.33,18,1,2,0,0,0,21
4189,ADRussell,17,19,11,0,2,154.54,8.5,0,2,0,0,0,10.5
