,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
597,98,Abhishek  Nayar,11,9,3,66,25,11.0,73,90.41,0,0,5,0,3.0
598,99,Roelof  van der Merwe,3,2,0,22,14,11.0,25,88.0,0,0,2,0,3.0
599,100,Piyush  Chawla,16,11,5,64,23,10.66,57,112.28,0,0,5,3,3.0
600,1,MS  Dhoni,16,15,10,371,57,74.2,250,148.4,0,1,22,20,1.0
601,2,David  Hussey,5,4,2,116,50,58.0,94,123.4,0,1,8,6,1.0
602,3,Lendl  Simmons,8,8,1,394,100,56.28,291,135.39,1,3,43,14,1.0
603,4,JP  Duminy,14,14,6,410,67,51.25,305,134.42,0,2,22,20,1.0
604,5,David  Warner,14,14,3,528,90,48.0,375,140.8,0,6,39,24,1.0
605,6,James  Faulkner,13,12,8,181,41,45.25,94,192.55,0,0,8,16,1.0
606,7,David  Miller,16,16,6,446,66,44.6,299,149.16,0,3,34,21,1.0
607,8,Robin  Uthappa,16,16,1,660,83,44.0,479,137.78,0,5,74,18,1.0
608,9,Rishi  Dhawan,13,6,4,82,23,41.0,75,109.33,0,0,8,1,1.0
609,10,Manan  Vohra,8,8,0,324,67,40.5,233,139.05,0,1,27,16,1.0
610,11,Suresh  Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19,1.0
611,12,Naman  Ojha,11,10,4,232,79,38.66,161,144.09,0,1,14,17,1.0
612,13,Steve  Smith,10,7,3,147,48,36.75,110,133.63,0,0,13,4,1.0
613,14,AB  de Villiers,14,13,2,395,89,35.9,249,158.63,0,3,26,24,1.0
614,15,Dwayne  Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34,1.0
615,16,Shaun  Marsh,2,2,0,70,40,35.0,52,134.61,0,0,7,3,1.0
616,17,Glenn  Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,48,36,1.0
617,18,Yuvraj  Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28,1.0
618,19,Kieron  Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15,1.0
619,20,Brad  Hodge,4,4,1,101,40,33.66,72,140.27,0,0,4,6,1.0
620,21,Karun  Nair,11,11,1,330,73,33.0,232,142.24,0,3,38,9,1.0
621,22,Wriddhiman  Saha,17,13,2,362,115,32.9,249,145.38,1,2,33,18,1.0
622,23,Suryakumar  Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5,1.0
623,24,Shakib  Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7,1.0
624,25,Brendon  McCullum,14,14,1,405,71,31.15,333,121.62,0,3,32,19,1.0
625,26,Manish  Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10,1.0
626,27,Manoj  Tiwary,8,8,3,152,61,30.4,118,128.81,0,1,14,4,1.0
627,28,Rohit  Sharma,15,15,2,390,59,30.0,302,129.13,0,3,31,16,1.0
628,29,Kedar  Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,13,7,1.0
629,30,Yusuf  Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20,1.0
630,31,Corey  Anderson,12,11,2,265,95,29.44,181,146.4,0,1,21,15,1.0
631,32,Kevin  Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,34,7,1.0
632,33,Ravindra  Jadeja,16,10,5,146,36,29.2,110,132.72,0,0,9,5,1.0
633,34,Shikhar  Dhawan,14,14,1,377,64,29.0,319,118.18,0,2,49,7,2.0
634,35,Chris  Lynn,2,2,0,58,45,29.0,49,118.36,0,0,5,3,2.0
635,36,George  Bailey,17,16,7,257,40,28.55,190,135.26,0,0,19,10,2.0
636,37,Ajinkya  Rahane,13,12,0,339,72,28.25,291,116.49,0,3,38,3,2.0
637,38,Aaron  Finch,13,13,2,309,88,28.09,263,117.49,0,2,31,9,2.0
638,39,Virat  Kohli,14,14,1,359,73,27.61,294,122.1,0,2,23,16,2.0
639,40,Faf  du Plessis,15,12,1,303,54,27.54,235,128.93,0,2,26,7,2.0
640,41,Irfan  Pathan,10,6,4,55,23,27.5,54,101.85,0,0,5,0,2.0
641,42,Virender  Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18,2.0
642,43,Sanju  Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17,2.0
643,44,Ambati  Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,31,8,2.0
644,45,Jacques  Kallis,8,7,1,151,72,25.16,129,117.05,0,1,13,4,2.0
645,46,Cheteshwar  Pujara,6,6,1,125,40,25.0,124,100.8,0,0,17,0,2.0
646,47,Sachin  Rana,9,7,4,73,19,24.33,65,112.3,0,0,7,1,2.0
647,48,Venugopal  Rao,7,5,2,71,27,23.66,63,112.69,0,0,8,0,2.0
648,49,Michael  Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7,2.0
649,50,Dinesh  Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11,2.0
650,51,Gautam  Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4,2.0
651,52,Quinton  de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4,2.0
