,BATSMEN,R,B,4s,6s,SR
180,MandeepSingh,47,25,6,1,188
181,PNegi,3,4,0,0,75
182,WashingtonSundar,35,19,1,3,184.21
183,CRWoakes,0,1,0,0,0
184,KLRahul,37,22,7,0,168.18
185,CHGayle,63,33,7,4,190.9
186,MAAgarwal,30,19,1,2,157.89
187,YuvrajSingh,20,13,2,1,153.84
188,AJFinch,0,1,0,0,0
189,KKNair,29,17,2,1,170.58
190,RAshwin,14,11,0,1,127.27
191,AJTye,3,4,0,0,75
192,BBSran,0,0,0,0,
194,SRWatson,11,9,2,0,122.22
195,MVijay,12,10,0,1,120
196,ATRayudu,49,35,5,1,140
197,SWBillings,9,8,1,0,112.5
198,MSDhoni,79,44,6,5,179.54
199,RAJadeja,19,13,1,1,146.15
200,DJBravo,1,1,0,0,100
201,CALynn,31,29,4,1,106.89
202,SPNarine,1,4,0,0,25
203,RVUthappa,35,19,2,3,184.21
204,NRana,59,35,5,4,168.57
205,KDKarthik,19,10,2,1,190
206,ADRussell,41,12,0,6,341.66
207,ShubmanGill,6,5,1,0,120
208,TKCurran,2,3,0,0,66.66
