,Unnamed: 0,0s,4s,6s,Bowling,Econ,M,NB,O,R,Rajasthan Royals Team,Unnamed: 0.1,W,WD,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
600,600,3.0,3.0,0.0,D Wiese,10.0,0.0,0.0,2.0,20.0,,2,2.0,1.0,20.0,0,0,-2,0.0,18.0
601,601,2.0,1.0,1.0,AB Dinda,11.5,0.0,2.0,2.0,23.0,,3,0.0,0.0,0.0,0,0,-3,0.0,-3.0
602,602,1.0,2.0,3.0,YS Chahal,17.0,0.0,0.0,2.0,34.0,,4,0.0,0.0,0.0,0,0,-3,0.0,-3.0
603,603,1.0,2.0,1.0,DW Steyn,17.0,0.0,0.0,1.0,17.0,,0,0.0,0.0,0.0,0,0,-3,0.0,-3.0
604,604,2.0,5.0,3.0,B Kumar,21.27,0.0,0.0,1.5,39.0,,1,0.0,0.0,0.0,0,0,-3,0.0,-3.0
605,605,4.0,0.0,0.0,MC Henriques,3.0,0.0,0.0,1.0,3.0,,2,2.0,1.0,20.0,0,0,3,0.0,23.0
606,606,0.0,0.0,1.0,KV Sharma,14.0,0.0,0.0,1.0,14.0,,3,0.0,0.0,0.0,0,0,-3,0.0,-3.0
607,607,2.0,0.0,1.0,P Kumar,10.0,0.0,0.0,1.0,10.0,,4,1.0,0.0,10.0,0,0,-2,0.0,8.0
608,608,12.0,3.0,0.0,P Negi,6.25,0.0,0.0,4.0,25.0,,0,2.0,1.0,20.0,0,0,0,0.0,20.0
609,609,8.0,2.0,1.0,IC Pandey,7.33,0.0,0.0,3.0,22.0,,1,1.0,0.0,10.0,0,0,0,0.0,10.0
610,610,12.0,2.0,1.0,A Nehra,5.66,0.0,0.0,3.0,17.0,,2,1.0,0.0,10.0,0,0,1,0.0,11.0
611,611,14.0,1.0,0.0,R Ashwin,3.5,0.0,0.0,4.0,14.0,,3,1.0,1.0,10.0,0,0,3,0.0,13.0
612,612,7.0,2.0,0.0,RA Jadeja,6.0,0.0,0.0,3.0,18.0,,4,1.0,0.0,10.0,0,0,0,0.0,10.0
613,613,2.0,1.0,0.0,SK Raina,8.0,0.0,0.0,1.0,8.0,,5,0.0,1.0,0.0,0,0,0,0.0,0.0
614,614,2.0,0.0,2.0,DJ Bravo,10.0,0.0,0.0,2.0,20.0,,6,1.0,0.0,10.0,0,0,-2,0.0,8.0
615,615,7.0,1.0,0.0,Sandeep Sharma,4.5,0.0,0.0,2.0,9.0,,0,1.0,0.0,10.0,0,0,2,0.0,12.0
616,616,7.0,3.0,0.0,BE Hendricks,8.33,0.0,0.0,3.0,25.0,,1,1.0,1.0,10.0,0,0,0,0.0,10.0
617,617,5.0,2.0,0.0,Gurkeerat Singh,7.33,0.0,0.0,3.0,22.0,,2,0.0,0.0,0.0,0,0,0,0.0,0.0
618,618,7.0,1.0,0.0,R Dhawan,6.0,0.0,0.0,2.0,12.0,,3,1.0,2.0,10.0,0,0,0,0.0,10.0
619,619,3.0,1.0,0.0,GJ Maxwell,8.0,0.0,0.0,1.0,8.0,,4,0.0,1.0,0.0,0,0,0,0.0,0.0
620,620,3.0,2.0,1.0,AR Patel,9.33,0.0,0.0,3.0,28.0,,5,0.0,1.0,0.0,0,0,-1,0.0,-1.0
621,621,4.0,2.0,2.0,Anureet Singh,10.58,0.0,0.0,2.5,30.0,,6,0.0,0.0,0.0,0,0,-2,0.0,-2.0
622,622,5.0,5.0,2.0,Azhar Mahmood,13.66,0.0,2.0,3.0,41.0,,0,0.0,0.0,0.0,0,0,-3,0.0,-3.0
623,623,7.0,2.0,2.0,M Morkel,9.5,0.0,0.0,4.0,38.0,,1,0.0,1.0,0.0,0,0,-1,0.0,-1.0
624,624,4.0,5.0,0.0,UT Yadav,9.0,0.0,0.0,4.0,36.0,,2,1.0,0.0,10.0,0,0,-1,0.0,9.0
625,625,9.0,2.0,2.0,Shakib Al Hasan,9.0,0.0,0.0,4.0,36.0,,3,0.0,1.0,0.0,0,0,-1,0.0,-1.0
626,626,8.0,5.0,0.0,AD Russell,8.0,0.0,0.0,4.0,32.0,,4,3.0,0.0,30.0,0,0,0,0.0,30.0
627,627,1.0,0.0,1.0,PP Chawla,12.0,0.0,0.0,1.0,12.0,,5,0.0,1.0,0.0,0,0,-3,0.0,-3.0
628,628,11.0,2.0,0.0,CH Morris,5.75,0.0,0.0,4.0,23.0,,0,4.0,2.0,40.0,0,0,1,0.0,41.0
629,629,6.0,4.0,1.0,BB Sran,11.66,0.0,1.0,3.0,35.0,,1,0.0,1.0,0.0,0,0,-3,0.0,-3.0
630,630,10.0,5.0,0.0,DS Kulkarni,9.0,0.0,0.0,4.0,36.0,,2,2.0,1.0,20.0,0,0,-1,0.0,19.0
