,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
106,1,SL Malinga,2.0,0,22,1,11.0,3,4,0,1,0
107,2,DJ Bravo,2.0,0,11,2,5.5,7,2,0,0,0
108,3,KA Pollard,4.0,0,24,1,6.0,11,3,0,1,0
109,4,Harbhajan Singh,2.3,0,23,2,9.2,6,1,2,1,0
110,5,ST Jayasuriya,4.0,0,17,2,4.25,16,1,0,1,0
111,0,P Kumar,4.0,0,18,3,4.5,15,2,0,2,0
112,1,DW Steyn,4.0,0,18,0,4.5,15,1,0,1,0
113,2,R Vinay Kumar,4.0,0,25,0,6.25,13,1,2,0,0
114,3,JH Kallis,4.0,0,20,2,5.0,9,1,0,1,1
115,4,A Kumble,3.5,0,9,3,2.34,14,0,0,0,0
116,0,MM Patel,3.0,0,23,0,7.66,8,4,0,0,0
117,1,M Morkel,3.0,0,34,0,11.33,6,6,0,4,0
118,2,SK Warne,2.0,0,12,0,6.0,6,2,0,0,0
119,3,S Narwal,2.4,0,24,0,9.0,7,2,1,3,0
120,0,JA Morkel,3.0,0,26,0,8.66,6,4,0,1,0
121,1,R Ashwin,4.0,0,40,1,10.0,5,5,1,1,0
122,2,Joginder Sharma,4.0,0,43,1,10.75,9,5,2,0,1
123,3,L Balaji,3.0,0,21,2,7.0,9,2,1,0,0
124,4,JM Kemp,1.0,0,14,0,14.0,1,1,1,0,0
125,5,M Muralitharan,4.0,0,25,2,6.25,8,2,0,2,0
126,6,SK Raina,1.0,0,12,0,12.0,0,2,0,0,0
127,0,DP Nannes,4.0,0,18,1,4.5,13,1,0,3,0
128,1,UT Yadav,4.0,0,38,1,9.5,9,7,0,2,0
129,2,PJ Sangwan,4.0,0,46,0,11.5,9,5,3,0,0
130,3,R Bhatia,2.0,0,31,0,15.5,3,4,2,0,0
131,4,TM Dilshan,2.1,0,30,1,13.84,3,0,4,0,0
132,5,A Mishra,3.0,0,25,1,8.33,6,0,2,3,0
133,0,IK Pathan,3.0,0,16,1,5.33,7,1,0,0,0
134,1,S Sreesanth,4.0,0,51,0,12.75,5,4,3,1,0
135,2,SJ Srivastava,4.0,0,39,1,9.75,6,5,1,0,0
136,3,PP Chawla,3.0,0,24,0,8.0,4,1,1,0,0
137,4,Bipul Sharma,2.0,0,19,1,9.5,2,1,1,0,0
138,5,Yuvraj Singh,4.0,0,21,2,5.25,11,1,1,0,0
139,0,WPUJC Vaas,4.0,0,27,2,6.75,15,4,1,1,0
140,1,RP Singh,4.0,0,43,1,10.75,11,4,3,1,0
141,2,A Symonds,4.0,0,22,1,5.5,10,2,0,0,0
142,3,PP Ojha,4.0,0,31,1,7.75,8,4,0,0,0
